"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
10212,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Limanda",NA,NA,NA,"sakhalinensis",NA,"Limanda sakhalinensis"
10220,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Platichthys",NA,NA,NA,"stellatus",NA,"Platichthys stellatus"
10221,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pleuronectidae unid."
10240,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossinae",NA,NA,"Clidoderma",NA,NA,NA,"asperrimum",NA,"Clidoderma asperrimum"
10250,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Psettichthyini",NA,"Psettichthys",NA,NA,NA,"melanostictus",NA,"Psettichthys melanostictus"
10260,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Lepidopsetta",NA,NA,NA,NA,NA,"Lepidopsetta sp."
10261,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Lepidopsetta",NA,NA,NA,"polyxystra",NA,"Lepidopsetta polyxystra"
10262,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Lepidopsetta",NA,NA,NA,"bilineata",NA,"Lepidopsetta bilineata"
10263,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Lepidopsetta",NA,NA,NA,"polyxystra",NA,"Lepidopsetta polyxystra"
10270,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Isopsettini",NA,"Isopsetta",NA,NA,NA,"isolepis",NA,"Isopsetta isolepis"
10280,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Pleuronichthys",NA,NA,NA,"decurrens",NA,"Pleuronichthys decurrens"
10281,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Pleuronichthys",NA,NA,NA,"verticalis",NA,"Pleuronichthys verticalis"
10285,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Pleuronectes",NA,NA,NA,"quadrituberculatus",NA,"Pleuronectes quadrituberculatus"
10290,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Pleuronichthys",NA,NA,NA,"coenosus",NA,"Pleuronichthys coenosus"
10291,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Pleuronichthys",NA,NA,NA,NA,NA,"Pleuronichthys sp."
10295,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Pleuronichthys",NA,NA,NA,"ritteri",NA,"Pleuronichthys ritteri"
10400,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes","Pleuronectoidei",NA,NA,"Cynoglossidae","Symphurinae",NA,NA,"Symphurus",NA,NA,NA,"atricauda",NA,"Symphurus atricauda"
20000,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agonidae unid."
20001,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Pallasina",NA,NA,NA,"barbata",NA,"Pallasina barbata"
20002,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Percis",NA,NA,NA,"japonicus",NA,"Percis japonicus"
20004,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Leptagonus",NA,NA,NA,NA,NA,"Leptagonus sp."
20005,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Leptagonus",NA,NA,NA,"leptorhynchus",NA,"Leptagonus leptorhynchus"
20006,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Leptagonus",NA,NA,NA,"frenatus",NA,"Leptagonus frenatus"
20007,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Leptagonus",NA,NA,NA,"decagonus",NA,"Leptagonus decagonus"
20015,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Agonopsis",NA,NA,NA,"vulsa",NA,"Agonopsis vulsa"
20018,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Odontopyxis",NA,NA,NA,"trispinosa",NA,"Odontopyxis trispinosa"
20020,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Xeneretmus",NA,NA,NA,"latifrons",NA,"Xeneretmus latifrons"
20021,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Xeneretmus",NA,NA,NA,"triacanthus",NA,"Xeneretmus triacanthus"
20022,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Xeneretmus",NA,NA,NA,"leiops",NA,"Xeneretmus leiops"
20023,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Xeneretmus",NA,NA,NA,NA,NA,"Xeneretmus sp."
20034,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Bathyagonus",NA,NA,NA,NA,NA,"Bathyagonus sp."
20035,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Bathyagonus",NA,NA,NA,"alascanus",NA,"Bathyagonus alascanus"
20036,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Bathyagonus",NA,NA,NA,"infraspinatus",NA,"Bathyagonus infraspinatus"
20037,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Bathyagonus",NA,NA,NA,"pentacanthus",NA,"Bathyagonus pentacanthus"
20038,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Bathyagonus",NA,NA,NA,"nigripinnis",NA,"Bathyagonus nigripinnis"
20039,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Podothecus",NA,NA,NA,NA,NA,"Podothecus sp."
20040,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Podothecus",NA,NA,NA,"accipenserinus",NA,"Podothecus accipenserinus"
20041,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Podothecus",NA,NA,NA,"veternus",NA,"Podothecus veternus"
20050,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Aspidophoroides",NA,NA,NA,"monopterygius",NA,"Aspidophoroides monopterygius"
20051,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Ulcina",NA,NA,NA,"olrikii",NA,"Ulcina olrikii"
20055,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Anoplagonus",NA,NA,NA,"inermis",NA,"Anoplagonus inermis"
20060,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Chesnonia",NA,NA,NA,"verrucosa",NA,"Chesnonia verrucosa"
20061,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Occella",NA,NA,NA,"dodecaedron",NA,"Occella dodecaedron"
20071,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Hypsagonus",NA,NA,NA,"quadricornis",NA,"Hypsagonus quadricornis"
20075,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Cottoidei",NA,"Cottoidea","Agonidae",NA,NA,NA,"Stellerina",NA,NA,NA,"xyosterna",NA,"Stellerina xyosterna"
20100,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alepocephalidae unid."
20105,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Asquamiceps",NA,NA,NA,"caeruleus",NA,"Asquamiceps caeruleus"
20110,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Alepocephalus",NA,NA,NA,NA,NA,"Alepocephalus sp."
20120,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Alepocephalus",NA,NA,NA,"tenebrosus",NA,"Alepocephalus tenebrosus"
20121,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Bajacalifornia",NA,NA,NA,"burragei",NA,"Bajacalifornia burragei"
20122,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Bajacalifornia",NA,NA,NA,"megalops",NA,"Bajacalifornia megalops"
20130,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Rouleina",NA,NA,NA,"attrita",NA,"Rouleina attrita"
20150,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Alepocephalidae",NA,NA,NA,"Talismania",NA,NA,NA,"bifurcata",NA,"Talismania bifurcata"
20179,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Platytroctidae",NA,NA,NA,"Maulisia",NA,NA,NA,NA,NA,"Maulisia sp."
20180,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Platytroctidae",NA,NA,NA,"Maulisia",NA,NA,NA,"mauli",NA,"Maulisia mauli"
20181,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Protacanthopterygii","Argentiformes",NA,NA,NA,"Platytroctidae",NA,NA,NA,"Maulisia",NA,NA,NA,"argipalla",NA,"Maulisia argipalla"
20202,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Perciformes","Trachinoidei",NA,NA,"Ammodytidae",NA,NA,NA,"Ammodytes",NA,NA,NA,NA,NA,"Ammodytes sp."
20203,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Perciformes","Trachinoidei",NA,NA,"Ammodytidae",NA,NA,NA,"Ammodytes",NA,NA,NA,"hexapterus",NA,"Ammodytes hexapterus"
20204,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Perciformes","Trachinoidei",NA,NA,"Ammodytidae",NA,NA,NA,"Ammodytes",NA,NA,NA,"personatus",NA,"Ammodytes personatus"
20320,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Perciformes","Zoarcoidei",NA,NA,"Anarhichadidae",NA,NA,NA,"Anarrhichthys",NA,NA,NA,"ocellatus",NA,"Anarrhichthys ocellatus"
20322,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Perciformes","Zoarcoidei",NA,NA,"Anarhichadidae",NA,NA,NA,"Anarhichas",NA,NA,NA,"orientalis",NA,"Anarhichas orientalis"
20420,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Beryciformes","Trachichthyoidei",NA,NA,"Anoplogastridae",NA,NA,NA,"Anoplogaster",NA,NA,NA,"cornuta",NA,"Anoplogaster cornuta"
20510,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Scorpaeniformes","Anoplopomatoidei",NA,NA,"Anoplopomatidae",NA,NA,NA,"Anoplopoma",NA,NA,NA,"fimbria",NA,"Anoplopoma fimbria"
