"year","stratum_bin","lbin","specimen_count","mean_log_diff"
1980,"Central","[30,60)",30,0.237232706244105
1980,"Central","[60,85)",28,0.160729155053187
1980,"Central","[85,999)",7,0.199617416130424
1983,"Central","[10,30)",29,0.0398507048434725
1983,"Central","[30,60)",76,0.0102452625673408
1983,"Central","[60,85)",144,0.0612580151678504
1983,"Central","[85,999)",32,0.010316724838394
1983,"East","[10,30)",15,0.0334823573155337
1983,"East","[30,60)",387,0.0376945203243427
1983,"East","[60,85)",341,0.0422819663866412
1983,"East","[85,999)",42,0.0108021766015348
1986,"BeringGoa","[30,60)",53,0.00260719496459353
1986,"BeringGoa","[60,85)",5,-0.00490946026418051
1986,"Central","[30,60)",163,0.00726436463696115
1986,"Central","[60,85)",96,-0.0107975043159874
1986,"Central","[85,999)",3,-0.0227123216801465
1986,"East","[10,30)",2,0.0428259231085288
1986,"East","[30,60)",182,0.0027667417663326
1986,"East","[60,85)",52,-0.0236245024675685
1986,"East","[85,999)",1,-0.0506602550181263
1986,"West","[30,60)",165,-0.0109477166786825
1986,"West","[60,85)",180,0.00412849993406861
1986,"West","[85,999)",14,-0.072545562570496
1991,"BeringGoa","[10,30)",17,0.249804691354444
1991,"BeringGoa","[30,60)",29,0.0606154932563514
1991,"BeringGoa","[60,85)",1,0.0136516288536654
1991,"Central","[10,30)",1,0.121244575704451
1991,"Central","[30,60)",69,0.0502406127586731
1991,"Central","[60,85)",16,0.104709256271517
1991,"Central","[85,999)",1,0.00766218563432552
1991,"East","[10,30)",3,0.100433898604937
1991,"East","[30,60)",181,0.0353610694450945
1991,"East","[60,85)",140,-0.00688844941631712
1991,"East","[85,999)",8,0.0440367234223689
1991,"West","[10,30)",1,0.118279367947649
1991,"West","[30,60)",62,0.0162498174946027
1991,"West","[60,85)",76,0.0428612381045473
1991,"West","[85,999)",8,0.105364886922566
1994,"BeringGoa","[10,30)",8,0.148703203768183
1994,"BeringGoa","[30,60)",69,-0.017043933083804
1994,"BeringGoa","[60,85)",39,-0.00416973751557287
1994,"BeringGoa","[85,999)",11,0.0131718360166401
1994,"Central","[10,30)",35,0.0613144565810719
1994,"Central","[30,60)",156,0.0152377357354541
1994,"Central","[60,85)",116,0.0343217003688048
1994,"Central","[85,999)",92,0.0498447645388507
