"year","model","race_group","stratum_bin","wgtcpue","numcpue","area","stations","bottom_temp_mean","surface_temp_mean","bio_t_km2","bio_tons","nn","tl","bb","ss91","qq","guild","b_index","bio_tons_q","bio_t_km2_q"
1990,"WGOA","AK Plaice","Chirikof_gully",139.41046388653,85.2107042782372,21121.824,83,5.10666666666667,10.2422222222222,0.0016796441432112,35.4771479755378,45,3.510641174,0.0146662,"0.009427808",1.555631986,"Benthic foragers","good index",55.1893861628018,0.00261290815427691
1990,"WGOA","AK Plaice","Chirikof_shelf",2716.87644295685,2300.98159321222,38780.307,64,5.775,10.5282051282051,0.0424511944212007,1646.27035217085,45,3.510641174,0.0146662,"0.009427808",1.555631986,"Benthic foragers","good index",2560.99081744046,0.0660384358855246
1990,"WGOA","AK Plaice","Kodiak_shelf",690.403143140293,457.222987626766,73935.803,145,6.05357142857143,12.243,0.00476140098717444,352.038005391735,45,3.510641174,0.0146662,"0.009427808",1.555631986,"Benthic foragers","good index",547.641581475023,0.00740698767382053
1990,"WGOA","AK Plaice","Shumagin_gully",501.779537746405,269.940544797659,6523.558,21,3.93333333333333,8.63076923076923,0.0238942637022097,155.87561512866,45,3.510641174,0.0146662,"0.009427808",1.555631986,"Benthic foragers","good index",242.485092731569,0.0371706808970763
1990,"WGOA","AK Plaice","Shumagin_shelf",3520.26804816073,2819.93566581195,49442.31,99,3.9,6.83333333333333,0.0355582631127346,1758.08266788139,45,3.510641174,0.0146662,"0.009427808",1.555631986,"Benthic foragers","good index",2734.92963218851,0.0553155714647739
1990,"WGOA","Anemones","Chirikof_gully",1454.62274240085,2074.23474258518,21121.824,83,5.10666666666667,10.2422222222222,0.0175255752096487,370.172115076964,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",896.947322854595,0.0424654292571794
1990,"WGOA","Anemones","Chirikof_shelf",1484.34979979811,335.680237097081,38780.307,64,5.775,10.5282051282051,0.0231929656218455,899.430327055616,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",2179.36897753369,0.0561978268385986
1990,"WGOA","Anemones","Chirikof_slope",11.2965127044112,179.485511957025,8151.034,9,4.4,10.5333333333333,0.00125516807826791,10.2309176816764,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",24.7900742686074,0.00304134104564002
1990,"WGOA","Anemones","Kodiak_gully",286.815443739338,994.724542201371,17779.462,58,5.31764705882353,11.9282051282051,0.00494509385757479,87.9211083271844,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",213.037664168952,0.0119822334426628
1990,"WGOA","Anemones","Kodiak_shelf",5171.75445458949,4433.93783865452,73935.803,145,6.05357142857143,12.243,0.0356672721006172,2637.08840357863,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",6389.80973277515,0.0864237551159775
1990,"WGOA","Anemones","Kodiak_slope",61.3556049781723,1466.34001212212,9773.081,12,4.82,12.55,0.00511296708151436,49.9694414379734,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",121.078695279386,0.0123889994648961
1990,"WGOA","Anemones","Shumagin_gully",64.818075348933,213.287513487769,6523.558,21,3.93333333333333,8.63076923076923,0.00308657501661586,20.1354511422445,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",48.7893016813292,0.00747894043117716
1990,"WGOA","Anemones","Shumagin_shelf",10332.8400887012,7316.98710829537,49442.31,99,3.9,6.83333333333333,0.104372122108093,5160.39881662617,96,2.525,0.08886787,"0.036675964",2.423054807,"Structural epifauna","n/a",12503.9291586631,0.252899372190805
