"model","year","pred_n","opilio_extrap","bairdi_extrap","chion_unknown"
"EBS",1982,0,0,0,0
"EBS",1983,0,0,0,0
"EBS",1984,581,435.404494314268,399.031501597085,33.3321055135452
"EBS",1985,793,1350.19394292768,236.172422956484,13.4584021632789
"EBS",1986,1351,953.836877454427,176.278066764943,0.105388555758327
"EBS",1987,822,1181.86567465925,500.771009987943,4.06597479794959
"EBS",1988,585,457.249957482009,274.760316145083,9.25832072164443
"EBS",1989,1763,685.951576841826,470.705495464243,0.52726247980327
"EBS",1990,1164,535.979021995246,214.909387084402,7.63272407788034
"EBS",1991,1665,502.665094195009,131.394866122974,13.3392121852236
"EBS",1992,1957,255.27902442073,105.737921024924,0
"EBS",1993,2391,288.474792521791,582.715882223178,12.5213875570029
"EBS",1994,2484,974.50614279165,309.278334248577,2.20413808838561
"EBS",1995,2459,662.536741384046,228.009348954926,0.183225218069587
"EBS",1996,1369,820.411477186226,260.518857607641,0.51215304113603
"EBS",1997,1183,812.363302145297,135.749100709242,0
"EBS",1998,1328,509.876777217113,284.503989865028,1.33979890501022
"EBS",1999,1434,351.765507038978,245.024899796398,0.0494539570358086
"EBS",2000,1464,688.278519604118,132.140600638002,1.93823604359985
"EBS",2001,1500,888.53779756172,359.248247133322,0.147011207341099
"EBS",2002,1395,465.866018212344,241.711670572013,0.236203310082112
"EBS",2003,1946,481.439594634058,194.78266312393,1.81807810432135
"EBS",2004,0,0,0,0
"EBS",2005,466,660.881682922842,152.212931921658,0.543920571531423
"EBS",2006,764,236.309716217434,445.543295396906,32.7294528941278
"EBS",2007,597,199.082508891832,205.051905743526,0.757753627366779
"EBS",2008,1236,444.098026889547,213.68081628967,8.84186726442216
"EBS",2009,1399,242.209875917383,227.629162270134,39.0950888308282
"EBS",2010,1220,225.098056961706,653.382472616054,1.42680035977557
"EBS",2011,1637,442.022177741593,803.587993947388,8.40823342206209
"EBS",2012,1882,356.119552545451,179.617099722821,0.172184059031467
"EBS",2013,1715,636.452161648027,309.586863009324,0.581632666879776
"EBS",2014,1702,1434.73182464106,512.022943276399,0.0331458818271092
"EBS",2015,1981,2077.04294057398,200.6269620043,6.51101036803938
"EBS",2016,2046,2248.9428558924,606.895965110397,0.340797881001523
"EBS",2017,1670,748.36655908176,437.623856027711,0
"EBS",2018,1703,1124.75953203786,393.369031307768,0.243609912569465
"EBS",2019,1321,694.598283157347,308.060359362297,5.88799328950385
"EBS",2021,1628,737.629900819541,194.209496489907,0
"EBS",2022,1017,512.551803119892,235.411486657707,11.4883030977922
"EBS",2023,1200,307.421139124959,358.281975755271,6.04467156167656
"EBS",2024,897,400.316981586365,428.041230018604,0
"NBS",2010,76,14.0797336849159,0.404440043633454,0.7232408515361
"NBS",2017,279,1017.1437230117,1.08798000258536,0
"NBS",2019,605,1257.73369378606,10.4604487063316,0
"NBS",2021,427,725.493817792305,10.522462567453,0
"NBS",2022,303,364.939711413926,1.58643121351399,0.386457864032929
"NBS",2023,252,291.877624838705,1.27732978973241,0
