"","stratum_bin","year_group","lbin","pred_N","pred_full","tot_wt","tot_sci","prey_guild","prey_N","prey_wt","prey_sci","dietprop_wt","dietprop_sci"
"1","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Benth Amph",12,1.397,0.00167417477164542,0.000342333158531864,0.000556517902854837
"2","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Brittle Star",2,18.763,0.0125656289677783,0.00459785043202102,0.00417698175819906
"3","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Clam",1,1.084,0.000733157429615144,0.000265632887507903,0.000243711255301533
"4","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Copepod",1,0.001,1.7615323570482e-06,2.45048789213933e-07,5.85556723084483e-07
"5","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Eelpout",5,102.213,0.0632391696664645,0.0250471718919237,0.021021538896129
"6","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Euphausiid",2,0.055,4.4353551925731e-05,1.34776834067663e-05,1.47437090320095e-05
"7","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Gen. Fish",13,10.268,0.0100414908315174,0.00251616096764866,0.00333792475775984
"8","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Glopp",3,0.598,0.000442448834459617,0.000146539175949932,0.000147075861877928
"9","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Hermit Crab",13,26.171,0.0256691693293623,0.00641317186251783,0.00853277239936093
"10","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Managed Forage",1,9.896,0.00555738047249982,0.00242500281806108,0.00184734699047123
"11","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Misc. Flatfish",2,40.712,0.0243115592145647,0.00997642630647762,0.00808148478782973
"12","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Misc. Worm. Etc.",3,53.198,0.036209219664035,0.0130361054886028,0.012036424949609
"13","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Mysid",1,0.196,0.000161465168605476,4.80295626859308e-05,5.36731639601209e-05
"14","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"NP Shrimp",17,18.298,0.0166095063704164,0.00448390274503654,0.00552122025087828
"15","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Octopus",10,118.541,0.0807418082425437,0.0290483285222088,0.0268396481400119
"16","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Offal",1,2.344,0.00131633991790012,0.000574394361917458,0.00043756885061283
"17","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Opilo",11,112.998,0.0806382919112563,0.0276900230835959,0.0268052379382965
"18","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Pandalidae",13,39.255,0.0250514188118821,0.00961939022059292,0.00832742393258308
"19","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Pel Amph",1,0.001,1.7615323570482e-06,2.45048789213933e-07,5.85556723084483e-07
"20","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Polychaete",22,60.342,0.0477844366035576,0.0147867340387471,0.0158841806113084
"21","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Sculpin",1,0.257,0.000173820534512077,6.29775388279807e-05,5.77802514875407e-05
"22","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Snail",3,0.348,0.000312493876682061,8.52769786464485e-05,0.000103877109995605
"23","NW_corner",1987,"[30,60)",147,147,4080.82,3.00830352996229,"Unid Chion",5,2.467,0.00251926941523047,0.000604535362990771,0.00083743857298271
