"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.557991621985031,1.56550755667143,"yellowfin sole","Limanda aspera",10210,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.0203515982367286,1.56550755667143,"sawback poacher","Leptagonus frenatus",20006,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.355146571427747,3.13101511334286,"Pacific herring","Clupea pallasii",21110,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",2.02889779344617,4.24923479667959,"butterfly sculpin","Hemilepidotus papilio",21348,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.304379397804259,0.223643936667347,"shorthorn (=warty) sculpin","Myoxocephalus scorpius",21368,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.456457274738055,0.223643936667347,NA,"Liparis sp.",22201,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.0203515982367286,0.447287873334694,"Pacific capelin","Mallotus catervarius (=villosus)",23041,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",1.52167334508463,3.8019469233449,"marbled eelpout","Lycodes raridens",24184,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.0304155753867592,2.46008330334082,"sea raspberry","Gersemia sp.",41201,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",0.253612224180772,10.9585528967,"sea anemone unid.","Actiniaria",43000,64,-0.8,5.5,60,198502,300
61.663,-173.09867,"U-24",81,1985,"1985-10-05",5.17355518692574,205.528777797292,"snow crab","Chionoecetes opilio",68580,64,-0.8,5.5,60,198502,300
