"species_name","model","stratum_bin","year","lbin","cons_vonb_tot","pred_n","pred_full","dtot"
"Pacific_cod","EGOA","Southeastern_gully",1984,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1984,"[60,85)",0.0141194814596808,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1987,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1990,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1993,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1996,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1999,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",1999,"[60,85)",0.0071452021291778,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2003,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2005,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2007,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2009,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2009,"[60,85)",0.00653175742549344,1,1,1
"Pacific_cod","EGOA","Southeastern_gully",2011,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2013,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2015,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2017,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2019,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_gully",2021,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1984,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1984,"[20,30)",0.00507523163316131,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1984,"[30,60)",0.310235619083971,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1984,"[60,85)",0.270250190490001,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1987,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1987,"[30,60)",0.127730705977666,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1987,"[60,85)",0.512041236024294,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1987,"[85,999)",0.0101008220921052,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1990,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1990,"[30,60)",0.441306167095052,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1990,"[60,85)",0.485985726733655,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1993,"[0,20)",0,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1993,"[30,60)",0.100510638750353,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1993,"[60,85)",0.210911744231996,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1996,"[0,20)",0.000281662523054742,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1996,"[20,30)",0.0355572978621951,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1996,"[30,60)",1.09101209891765,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1996,"[60,85)",0.828985970026117,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1996,"[85,999)",0.0178863114192487,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1999,"[0,20)",0.000674800350200178,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1999,"[20,30)",0.0189980728203558,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1999,"[30,60)",0.805123311692873,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",1999,"[60,85)",0.6883028069253,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",2003,"[0,20)",0.000704026555951399,NA,NA,NA
"Pacific_cod","EGOA","Southeastern_shelf",2003,"[20,30)",0.0391622851991375,NA,NA,NA
